timestamp_utc,mode,level,airborne,expected,alerted,detail
2026-06-10T13:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T13:30:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T14:01:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T14:30:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T15:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T15:30:49+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T16:01:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T16:25:16+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T16:30:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T16:41:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T17:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T17:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T18:01:08+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T18:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T19:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T19:16:36+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T19:30:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T20:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T20:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T21:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T21:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T21:36:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T22:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T22:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T23:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T23:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-10T23:43:32+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T00:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T00:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T01:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T01:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T02:00:53+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T02:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T03:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T03:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T04:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T04:30:40+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T04:54:08+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T05:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T05:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T06:00:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T06:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T07:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T07:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T08:01:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T08:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T09:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T09:18:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T09:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T10:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T10:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T11:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T11:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T12:01:04+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T12:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T13:01:09+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T13:03:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T13:30:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T14:01:07+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T14:30:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T15:01:07+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T15:30:56+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T16:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T16:30:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T17:00:31+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T17:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T17:30:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T18:01:06+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T18:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T19:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T19:30:48+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T19:40:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T20:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T20:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T21:01:08+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T21:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T22:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T22:09:28+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T22:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T23:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-11T23:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T00:00:57+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T00:07:15+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T00:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T01:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T01:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T02:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T02:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T03:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T03:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T04:00:55+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T04:30:41+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T05:00:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T05:18:28+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T05:30:42+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T06:00:54+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T06:30:44+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T07:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T07:30:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T08:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T08:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T09:00:59+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T09:30:48+00:00,rss,,,,False,sin items (nivel < 5)
